,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url
AAPL,95014,Technology,137000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides digital content stores and streaming services; AppleCare support services; and iCloud, a cloud service, which stores music, photos, contacts, calendars, mail, documents, and others. In addition, the company offers various service, such as Apple Arcade, a game subscription service; Apple Card, a co-branded credit card; Apple News+, a subscription news and magazine service; and Apple Pay, a cashless payment service, as well as licenses its intellectual property, and provides other related services. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store, Mac App Store, and Watch App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. has a collaboration with Google to develop COVID-19 tracking system for Android and iOS devices. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,499.3,504.716,332.33884,0.0062687765,0.2373,,507.97,,49740728,,499.3,420.53946,3.13,504.716,,49740728,,,,3.2800000000000002,1596758400,1.226373,,,500.33,2,USD,38.323475,24465596,,,,2160454533120,,,38950670,7.8889875,500.33,504.95,,1000,24465596,515.14,32.557667,,1.56,203.32,504.9,False,0.0066000004,900,507.97,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.902,,0.21334000000000003,27.507,1.4293289,,15.52,,4275630080,,,16.873,23658754,0.0055000000000000005,,1569628800,0.6211500000000001,58424000512,13.185,,0.19241405,29.943401,0.0006600000000000001,1632787200,1593216000,0.5700000000000001,1594771200,4271358366,2163985088512,,1402272000,7:1,,,0.12,1597363200,3.09,,0.0055000000000000005,35234606,,,504.716,https://logo.clearbit.com/apple.com
TSLA,94304,Consumer Cyclical,48016,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, Netherlands, Norway, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers sedans and sport utility vehicles. It also provides electric powertrain components and systems; and services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians, as well as sells used vehicles. This segment markets and sells its products through a network of company-owned stores and galleries, as well as through its own Website. The Energy Generation and Storage segment offers energy storage products, such as rechargeable lithium-ion battery systems for use in homes, industrial, commercial facilities, and utility grids; and designs, manufactures, installs, maintains, leases, and sells solar energy generation and energy storage products to residential and commercial customers. It also provides vehicle insurance services, as well as renewable energy. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.",Palo Alto,650-681-5000,CA,United States,[],http://www.tesla.com,1,3500 Deer Creek Road,Auto Manufacturers,2023.34,2060,981.9376,,0,,2120.65,,17381628,,2023.34,1587.0161,,2060,,17381628,,,,,,1.302197,,,2053.6292,2,USD,1093.0638,6661713,,,,393559146496,,,13891493,15.308821,2053.6292,2111.67,,2200,6661713,2129,135.80702,,,212.31,2109.08,False,,1800,2120.65,NMS,"Tesla, Inc.","Tesla, Inc.",America/New_York,EDT,False,-14400000,EQUITY,TSLA,finmb_27444752,us_market,,14.992,,0.0143099995,111.877,8.385129,,15.55,,186362000,,,52.984,12312197,0.0661,,1577750400,0.5792700000000001,376000000,1.932,,0.19241405,39.8573,0.2051,1640908800,1593475200,0.91,1594771200,148524705,385417150464,,,,,,,1597363200,0.56,,0.0828,12710428,,,2060,https://logo.clearbit.com/tesla.com
JNJ,08933,Healthcare,132200,"Johnson & Johnson researches and develops, manufactures, and sells various products in the health care field worldwide. It operates in three segments: Consumer, Pharmaceutical, and Medical Devices. The Consumer segment offers baby care products under the JOHNSON'S brand; oral care products under the LISTERINE brand; beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO NEUTROGENA, and OGX brands; over-the-counter medicines, including acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides orthopedic products; general surgery, biosurgical, endomechanical, and energy products; electrophysiology products to treat cardiovascular diseases; and vision care products, such as disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey.",New Brunswick,732 524 0400,NJ,United States,[],http://www.jnj.com,1,One Johnson & Johnson Plaza,Drug Manufacturers—General,152.06,151.86,144.02615,0.025384717,0.6784,,152.08,,5327642,,152.06,148.03,3.86,151.86,,5327642,,,,4.04,1598227200,0.693956,,,150.64,2,USD,26.673117,3349308,,,,399161851904,,,6558423,4.958348,150.64,151.39,,900,3349308,157,16.771017,,2.66,109.16,151.34,False,0.026600001,1000,152.08,NYQ,Johnson & Johnson,Johnson & Johnson,America/New_York,EDT,False,-14400000,EQUITY,JNJ,finmb_139677,us_market,,5.116,,0.18863001000000001,15.136,0.18169105,,9.04,,2632819968,,,23.924,12395289,0.0047,,1577577600,0.70252,15185000448,5.684,,0.19241405,6.337151,0.0008300000000000001,1640736000,1593302400,1.96,1593475200,2630059010,411843100672,,992390400,2:1,,,-0.353,1596153600,3.8,,0.0047,12778289,,,151.86,https://logo.clearbit.com/jnj.com
FB,94025,Communication Services,52534,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide. The company's products include Facebook that enables people to connect, share, discover, and communicate with each other on mobile devices and personal computers; Instagram, a community for sharing photos, videos, and private messages; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices; and WhatsApp, a messaging application that is used by people and businesses to communicate in a private way. It also provides Oculus, a hardware, software, and developer ecosystem, which allows people to come together and connect with each other through its Oculus virtual reality products. Facebook, Inc. was founded in 2004 and is headquartered in Menlo Park, California.",Menlo Park,650-543-4800,CA,United States,[],http://investor.fb.com,1,1601 Willow Road,Internet Content & Information,280.82,284,213.17377,,0,,299.32,,22419385,,280.82,250.33112,,284,,22419385,,,,,,1.20934,,,284,2,USD,36.02042,34785446,,,,839191166976,,,25025172,11.165842,284,294.47,,800,34785446,299.32,29.079468,,,137.1,294.42,False,,800,299.32,NMS,"Facebook, Inc.","Facebook, Inc.",America/New_York,EDT,False,-14400000,EQUITY,FB,finmb_20765463,us_market,,10.016,,0.31296,22.086,0.5450045,,10.13,,2404280064,,,38.753,23343928,0.0082,,1577750400,0.79412,23520999424,8.178,,0.19241405,7.6013474,0.006640000000000001,1640908800,1593475200,0.98,1594771200,2391865761,752768450560,,,,,,0.979,1597363200,2.06,,0.0097,26671192,,,284,https://logo.clearbit.com/investor.fb.com
EBAY,95125,Consumer Cyclical,13300,"eBay Inc. operates the marketplace and classifieds platforms that connect buyers and sellers worldwide. Its Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps; and Classifieds platform comprises a collection of brands, such as Mobile.de, Kijiji, Gumtree, Marktplaats, eBay Kleinanzeigen, and others that offer online classifieds to help people find what they are looking for in their local communities. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. The company was founded in 1995 and is headquartered in San Jose, California.",San Jose,408-376-7008,CA,United States,[],http://www.ebayinc.com,1,2025 Hamilton Avenue,Internet Retail,58.05,57.96,44.251884,0.010335918000000001,0.219,,58.33,,5997714,,58.05,56.87361,0.6000000000000001,57.96,,5997714,,,,0.64,1598832000,1.380769,,,57.38,2,USD,8.959883,2861004,,,,40484618240,,,10512803,3.61373,57.38,57.8,,1100,2861004,61.06,14.607324,,,26.02,57.79,False,0.011,1000,58.33,NMS,eBay Inc.,eBay Inc.,America/New_York,EDT,False,-14400000,EQUITY,EBAY,finmb_27862,us_market,,4.01,,0.44845,13.475,0.44799197,,3.96,,699881024,,,4.116,16356420,0.0234,,1577750400,1.0716001,2100999936,6.456,,0.19241405,14.053693,0.051300000000000005,1640908800,1593475200,1.58,1593475200,664194178,44927012864,,1437350400,2376:1000,,,0.856,1596153600,1.02,,0.024600001,19840019,,,57.96,https://logo.clearbit.com/ebayinc.com
